,forecast,production
2018-09-08 00:00:00,4177.59230455,4177.59230455
2018-09-08 00:15:00,4177.59230455,4177.59230455
2018-09-08 00:30:00,4177.59230455,4177.59230455
2018-09-08 00:45:00,4177.59230455,4177.59230455
2018-09-08 01:00:00,2953.73075528,2953.73075528
2018-09-08 01:15:00,2953.73075528,2953.73075528
2018-09-08 01:30:00,2953.73075528,2953.73075528
2018-09-08 01:45:00,2953.73075528,2953.73075528
2018-09-08 02:00:00,2977.53610615,2977.53610615
2018-09-08 02:15:00,2977.53610615,2977.53610615
2018-09-08 02:30:00,2977.53610615,2977.53610615
2018-09-08 02:45:00,2977.53610615,2977.53610615
2018-09-08 03:00:00,3224.09505119,3224.09505119
2018-09-08 03:15:00,3224.09505119,3224.09505119
2018-09-08 03:30:00,3224.09505119,3224.09505119
2018-09-08 03:45:00,3224.09505119,3224.09505119
2018-09-08 04:00:00,3557.05738444,3557.05738444
2018-09-08 04:15:00,3557.05738444,3557.05738444
2018-09-08 04:30:00,3557.05738444,3557.05738444
2018-09-08 04:45:00,3557.05738444,3557.05738444
2018-09-08 05:00:00,3696.26192927,3696.26192927
2018-09-08 05:15:00,3696.26192927,3696.26192927
2018-09-08 05:30:00,3696.26192927,3696.26192927
2018-09-08 05:45:00,3696.26192927,3696.26192927
2018-09-08 06:00:00,3988.72884362,3988.72884362
2018-09-08 06:15:00,3988.72884362,3988.72884362
2018-09-08 06:30:00,3988.72884362,3988.72884362
2018-09-08 06:45:00,3988.72884362,3988.72884362
2018-09-08 07:00:00,2210.56619774,2210.56619774
2018-09-08 07:15:00,2210.56619774,2210.56619774
2018-09-08 07:30:00,2210.56619774,2210.56619774
2018-09-08 07:45:00,2210.56619774,2210.56619774
2018-09-08 08:00:00,2578.06849931,2578.06849931
2018-09-08 08:15:00,2578.06849931,2578.06849931
2018-09-08 08:30:00,2578.06849931,2578.06849931
2018-09-08 08:45:00,2578.06849931,2578.06849931
2018-09-08 09:00:00,2497.19282214,2497.19282214
2018-09-08 09:15:00,2497.19282214,2497.19282214
2018-09-08 09:30:00,2497.19282214,2497.19282214
2018-09-08 09:45:00,2497.19282214,2497.19282214
2018-09-08 10:00:00,655.486176445,655.486176445
2018-09-08 10:15:00,655.486176445,655.486176445
2018-09-08 10:30:00,655.486176445,655.486176445
2018-09-08 10:45:00,655.486176445,655.486176445
2018-09-08 11:00:00,0.246772814805,0.246772814805
2018-09-08 11:15:00,0.246772814805,0.246772814805
2018-09-08 11:30:00,0.246772814805,0.246772814805
2018-09-08 11:45:00,0.246772814805,0.246772814805
2018-09-08 12:00:00,0.0,0.0
2018-09-08 12:15:00,0.0,0.0
2018-09-08 12:30:00,0.0,0.0
2018-09-08 12:45:00,0.0,0.0
2018-09-08 13:00:00,0.0,0.0
2018-09-08 13:15:00,0.0,0.0
2018-09-08 13:30:00,0.0,0.0
2018-09-08 13:45:00,0.0,0.0
2018-09-08 14:00:00,0.666286599973,0.666286599973
2018-09-08 14:15:00,0.666286599973,0.666286599973
2018-09-08 14:30:00,0.666286599973,0.666286599973
2018-09-08 14:45:00,0.666286599973,0.666286599973
2018-09-08 15:00:00,351.593680773,351.593680773
2018-09-08 15:15:00,351.593680773,351.593680773
2018-09-08 15:30:00,351.593680773,351.593680773
2018-09-08 15:45:00,351.593680773,351.593680773
2018-09-08 16:00:00,808.460644342,808.460644342
2018-09-08 16:15:00,808.460644342,808.460644342
2018-09-08 16:30:00,808.460644342,808.460644342
2018-09-08 16:45:00,808.460644342,808.460644342
2018-09-08 17:00:00,2014.13503716,2014.13503716
2018-09-08 17:15:00,2014.13503716,2014.13503716
2018-09-08 17:30:00,2014.13503716,2014.13503716
2018-09-08 17:45:00,2014.13503716,2014.13503716
2018-09-08 18:00:00,1080.7497682,1080.7497682
2018-09-08 18:15:00,1080.7497682,1080.7497682
2018-09-08 18:30:00,1080.7497682,1080.7497682
2018-09-08 18:45:00,1080.7497682,1080.7497682
2018-09-08 19:00:00,201.843710989,201.843710989
2018-09-08 19:15:00,201.843710989,201.843710989
2018-09-08 19:30:00,201.843710989,201.843710989
2018-09-08 19:45:00,201.843710989,201.843710989
2018-09-08 20:00:00,37.6410800182,37.6410800182
2018-09-08 20:15:00,37.6410800182,37.6410800182
2018-09-08 20:30:00,37.6410800182,37.6410800182
2018-09-08 20:45:00,37.6410800182,37.6410800182
2018-09-08 21:00:00,0.0,0.0
2018-09-08 21:15:00,0.0,0.0
2018-09-08 21:30:00,0.0,0.0
2018-09-08 21:45:00,0.0,0.0
2018-09-08 22:00:00,63.5522255727,63.5522255727
2018-09-08 22:15:00,63.5522255727,63.5522255727
2018-09-08 22:30:00,63.5522255727,63.5522255727
2018-09-08 22:45:00,63.5522255727,63.5522255727
2018-09-08 23:00:00,43.4813699686,43.4813699686
2018-09-08 23:15:00,43.4813699686,43.4813699686
2018-09-08 23:30:00,43.4813699686,43.4813699686
2018-09-08 23:45:00,43.4813699686,43.4813699686
