,forecast,production
2018-09-10 00:00:00,3083.43061067,3083.43061067
2018-09-10 00:15:00,3083.43061067,3083.43061067
2018-09-10 00:30:00,3083.43061067,3083.43061067
2018-09-10 00:45:00,3083.43061067,3083.43061067
2018-09-10 01:00:00,3598.02593435,3598.02593435
2018-09-10 01:15:00,3598.02593435,3598.02593435
2018-09-10 01:30:00,3598.02593435,3598.02593435
2018-09-10 01:45:00,3598.02593435,3598.02593435
2018-09-10 02:00:00,12317.4828398,12317.4828398
2018-09-10 02:15:00,12317.4828398,12317.4828398
2018-09-10 02:30:00,12317.4828398,12317.4828398
2018-09-10 02:45:00,12317.4828398,12317.4828398
2018-09-10 03:00:00,13403.4888313,13403.4888313
2018-09-10 03:15:00,13403.4888313,13403.4888313
2018-09-10 03:30:00,13403.4888313,13403.4888313
2018-09-10 03:45:00,13403.4888313,13403.4888313
2018-09-10 04:00:00,14763.0553533,14763.0553533
2018-09-10 04:15:00,14763.0553533,14763.0553533
2018-09-10 04:30:00,14763.0553533,14763.0553533
2018-09-10 04:45:00,14763.0553533,14763.0553533
2018-09-10 05:00:00,6343.86823928,6343.86823928
2018-09-10 05:15:00,6343.86823928,6343.86823928
2018-09-10 05:30:00,6343.86823928,6343.86823928
2018-09-10 05:45:00,6343.86823928,6343.86823928
2018-09-10 06:00:00,6469.45760347,6469.45760347
2018-09-10 06:15:00,6469.45760347,6469.45760347
2018-09-10 06:30:00,6469.45760347,6469.45760347
2018-09-10 06:45:00,6469.45760347,6469.45760347
2018-09-10 07:00:00,9940.59128285,9940.59128285
2018-09-10 07:15:00,9940.59128285,9940.59128285
2018-09-10 07:30:00,9940.59128285,9940.59128285
2018-09-10 07:45:00,9940.59128285,9940.59128285
2018-09-10 08:00:00,12218.8353956,12218.8353956
2018-09-10 08:15:00,12218.8353956,12218.8353956
2018-09-10 08:30:00,12218.8353956,12218.8353956
2018-09-10 08:45:00,12218.8353956,12218.8353956
2018-09-10 09:00:00,16041.5634565,16041.5634565
2018-09-10 09:15:00,16041.5634565,16041.5634565
2018-09-10 09:30:00,16041.5634565,16041.5634565
2018-09-10 09:45:00,16041.5634565,16041.5634565
2018-09-10 10:00:00,12803.6472256,12803.6472256
2018-09-10 10:15:00,12803.6472256,12803.6472256
2018-09-10 10:30:00,12803.6472256,12803.6472256
2018-09-10 10:45:00,12803.6472256,12803.6472256
2018-09-10 11:00:00,1081.3528101,1081.3528101
2018-09-10 11:15:00,1081.3528101,1081.3528101
2018-09-10 11:30:00,1081.3528101,1081.3528101
2018-09-10 11:45:00,1081.3528101,1081.3528101
2018-09-10 12:00:00,8.18959914704,8.18959914704
2018-09-10 12:15:00,8.18959914704,8.18959914704
2018-09-10 12:30:00,8.18959914704,8.18959914704
2018-09-10 12:45:00,8.18959914704,8.18959914704
2018-09-10 13:00:00,0.0,0.0
2018-09-10 13:15:00,0.0,0.0
2018-09-10 13:30:00,0.0,0.0
2018-09-10 13:45:00,0.0,0.0
2018-09-10 14:00:00,0.0,0.0
2018-09-10 14:15:00,0.0,0.0
2018-09-10 14:30:00,0.0,0.0
2018-09-10 14:45:00,0.0,0.0
2018-09-10 15:00:00,0.0,0.0
2018-09-10 15:15:00,0.0,0.0
2018-09-10 15:30:00,0.0,0.0
2018-09-10 15:45:00,0.0,0.0
2018-09-10 16:00:00,0.0,0.0
2018-09-10 16:15:00,0.0,0.0
2018-09-10 16:30:00,0.0,0.0
2018-09-10 16:45:00,0.0,0.0
2018-09-10 17:00:00,1793.24302232,1793.24302232
2018-09-10 17:15:00,1793.24302232,1793.24302232
2018-09-10 17:30:00,1793.24302232,1793.24302232
2018-09-10 17:45:00,1793.24302232,1793.24302232
2018-09-10 18:00:00,421.299037939,421.299037939
2018-09-10 18:15:00,421.299037939,421.299037939
2018-09-10 18:30:00,421.299037939,421.299037939
2018-09-10 18:45:00,421.299037939,421.299037939
2018-09-10 19:00:00,0.279190880013,0.279190880013
2018-09-10 19:15:00,0.279190880013,0.279190880013
2018-09-10 19:30:00,0.279190880013,0.279190880013
2018-09-10 19:45:00,0.279190880013,0.279190880013
2018-09-10 20:00:00,0.139595440006,0.139595440006
2018-09-10 20:15:00,0.139595440006,0.139595440006
2018-09-10 20:30:00,0.139595440006,0.139595440006
2018-09-10 20:45:00,0.139595440006,0.139595440006
2018-09-10 21:00:00,3294.68504322,3294.68504322
2018-09-10 21:15:00,3294.68504322,3294.68504322
2018-09-10 21:30:00,3294.68504322,3294.68504322
2018-09-10 21:45:00,3294.68504322,3294.68504322
2018-09-10 22:00:00,10930.6021434,10930.6021434
2018-09-10 22:15:00,10930.6021434,10930.6021434
2018-09-10 22:30:00,10930.6021434,10930.6021434
2018-09-10 22:45:00,10930.6021434,10930.6021434
2018-09-10 23:00:00,13465.5622703,13465.5622703
2018-09-10 23:15:00,13465.5622703,13465.5622703
2018-09-10 23:30:00,13465.5622703,13465.5622703
2018-09-10 23:45:00,13465.5622703,13465.5622703
2018-09-11 00:00:00,8021.20051458,8021.20051458
